101 123456789 1234567892411082105A094101SomeBankName           MyCompany                      
5220My Company                          123456789 PPDPMT       241108241108   1123456780000001
622063116177       05001025040000012900278U230722     Summer Staton2        R 0123456780000001
622064107994          91565710000138000278U230722     Summer Staton2        R 0123456780000002
622062003977         761460420000161000278U230722     Summer Staton2        R 0123456780000003
622262283665        6663103650000080500278U230722     Summer Staton2        R 0123456780000004
622064200930        1005872290000309600278U230722     Summer Staton2        R 0123456780000005
622061113415    00052446344880000119500278U230722     Summer Staton2        R 0123456780000006
622061101375       01616459740000528900278U230722     Summer Staton2        R 0123456780000007
622061113282           2055500000116100278U230722     Summer Staton2        R 0123456780000008
622107006606       78284574310000387000278U230722     Summer Staton2        R 0123456780000009
622264181626      100322999000000069000278U230722     Summer Staton2        R 0123456780000010
622041000124       41205902690000471500278U230722     Summer Staton2        R 0123456780000011
622262283665        1671181990000115000278U230722     Summer Staton2        R 0123456780000012
622091400486         700013080000069000278U230722     Summer Staton2        R 0123456780000013
622051903761      015211005010000412800278U230722     Summer Staton2        R 0123456780000014
622061101375       02559042700000283800278U230722     Summer Staton2        R 0123456780000015
622084000026     2200025033890000023000278U230722     Summer Staton2        R 0123456780000016
622072403473      011535095250000184000278U230722     Summer Staton2        R 0123456780000017
622231372361       10015696650000057500278U230722     Summer Staton2        R 0123456780000018
622122238200        0120201240000012900278U230722     Summer Staton2        R 0123456780000019
622021000021        7261559710000141900278U230722     Summer Staton2        R 0123456780000020
622061120628       01200197400000052500278U230722     Summer Staton2        R 0123456780000021
622084302300         800247420000345000278U230722     Summer Staton2        R 0123456780000022
622122232109       57905570850000077400278U230722     Summer Staton2        R 0123456780000023
622062001186       67592086740000748200278U230722     Summer Staton2        R 0123456780000024
622062201559         803024330000034500278U230722     Summer Staton2        R 0123456780000025
622112206297          22046650000206400278U230722     Summer Staton2        R 0123456780000026
622122239131       94381166510000080500278U230722     Summer Staton2        R 0123456780000027
622113122655       11014052330000011500278U230722     Summer Staton2        R 0123456780000028
622082907273          90865540000031500278U230722     Summer Staton2        R 0123456780000029
622267090594       98529374660000023000278U230722     Summer Staton2        R 0123456780000030
622031302955       98650577990000299000278U230722     Summer Staton2        R 0123456780000031
622043400036       68091938300000253000278U230722     Summer Staton2        R 0123456780000032
622051403164       85332770480000207000278U230722     Summer Staton2        R 0123456780000033
622082907477          20441330000046000278U230722     Summer Staton2        R 0123456780000034
622121143037          95017030000103500278U230722     Summer Staton2        R 0123456780000035
622053112550         302025720000115000278U230722     Summer Staton2        R 0123456780000036
622064000017       03468128650000080500278U230722     Summer Staton2        R 0123456780000037
622122100024        8978898900000011500278U230722     Summer Staton2        R 0123456780000038
622062206567       02182441940000090300278U230722     Summer Staton2        R 0123456780000039
622082901952       22034811010000345000278U230722     Summer Staton2        R 0123456780000040
622122232109       25720032950000046000278U230722     Summer Staton2        R 0123456780000041
622064200930        0045120010000034500278U230722     Summer Staton2        R 0123456780000042
622322281617     0007103976950000023000278U230722     Summer Staton2        R 0123456780000043
622124000737     4400310004310000010500278U230722     Summer Staton2        R 0123456780000044
622091302966        1200992050000021000278U230722     Summer Staton2        R 0123456780000045
622263191387    00002404077870000046000278U230722     Summer Staton2        R 0123456780000046
622031100089       56937681960000115000278U230722     Summer Staton2        R 0123456780000047
622056004445       00201476780000065000278U230722     Summer Staton2        R 0123456780000048
622072414255          50370310000084000278U230722     Summer Staton2        R 0123456780000049
622065405297          01374720000161000278U230722     Summer Staton2        R 0123456780000050
622031310086       12500082430000115000278U230722     Summer Staton2        R 0123456780000051
622021201383       05002162620000116500278U230722     Summer Staton2        R 0123456780000052
622122037760     0010646459610000064500278U230722     Summer Staton2        R 0123456780000053
622114000093        9600208500000107000278U230722     Summer Staton2        R 0123456780000054
622067091719       74328098660000010500278U230722     Summer Staton2        R 0123456780000055
622121000358     3251341065710000021000278U230722     Summer Staton2        R 0123456780000056
622061092387        6903325850000051600278U230722     Summer Staton2        R 0123456780000057
622072402652          10952050000057500278U230722     Summer Staton2        R 0123456780000058
622072410165        1120087600000425500278U230722     Summer Staton2        R 0123456780000059
622061113415    00052401497040000219300278U230722     Summer Staton2        R 0123456780000060
622263191387    00002412956990000299000278U230722     Summer Staton2        R 0123456780000061
622111000614        1575153500000034500278U230722     Summer Staton2        R 0123456780000062
622072410013       25519302470000655500278U230722     Summer Staton2        R 0123456780000063
622072000096       18533737670000296700278U230722     Summer Staton2        R 0123456780000064
622072414158           0398910000241500278U230722     Summer Staton2        R 0123456780000065
622051000017     4350434843710000023000278U230722     Summer Staton2        R 0123456780000066
622072000096       18538480990000567600278U230722     Summer Staton2        R 0123456780000067
622122042807         021133920000207000278U230722     Summer Staton2        R 0123456780000068
622062206567       02094958200000126500278U230722     Summer Staton2        R 0123456780000069
622265270413      200022370590000154800278U230722     Summer Staton2        R 0123456780000070
622265270413      200023971530000038700278U230722     Summer Staton2        R 0123456780000071
622053904483     2230093068090000046000278U230722     Summer Staton2        R 0123456780000072
622072403473      013832327010000129000278U230722     Summer Staton2        R 0123456780000073
622064203513        2011039190000258000278U230722     Summer Staton2        R 0123456780000074
622041000124       41465672780000046000278U230722     Summer Staton2        R 0123456780000075
622322271627        9331557870000057500278U230722     Summer Staton2        R 0123456780000076
622062206457          60171720000077400278U230722     Summer Staton2        R 0123456780000077
622053906041       89261231150000023000278U230722     Summer Staton2        R 0123456780000078
622061112843        0310161700000172500278U230722     Summer Staton2        R 0123456780000079
622121042882       56305226870000011500278U230722     Summer Staton2        R 0123456780000080
622053202130        9000114460000069000278U230722     Summer Staton2        R 0123456780000081
622053202130        5007074430000011500278U230722     Summer Staton2        R 0123456780000082
622072414158           5082830000567600278U230722     Summer Staton2        R 0123456780000083
622061000052     3340248433020000116100278U230722     Summer Staton2        R 0123456780000084
622062201559         803037870000115000278U230722     Summer Staton2        R 0123456780000085
622243373170       00629107990000103500278U230722     Summer Staton2        R 0123456780000086
622064208165    14300013694210000051600278U230722     Summer Staton2        R 0123456780000087
622272471852        1311305780000080500278U230722     Summer Staton2        R 0123456780000088
622063116177         550695330000161000278U230722     Summer Staton2        R 0123456780000089
622062201847           0142660000034500278U230722     Summer Staton2        R 0123456780000090
622054000030       55332650120000046000278U230722     Summer Staton2        R 0123456780000091
622107006606       80971849800000103200278U230722     Summer Staton2        R 0123456780000092
622041000124       41562198160000034500278U230722     Summer Staton2        R 0123456780000093
622062205791         180232290000172500278U230722     Summer Staton2        R 0123456780000094
622121143736        0530068050000023000278U230722     Summer Staton2        R 0123456780000095
622062203285          11644170000690000278U230722     Summer Staton2        R 0123456780000096
622211170282        6150141850000046000278U230722     Summer Staton2        R 0123456780000097
622062101031          41167040000230000278U230722     Summer Staton2        R 0123456780000098
622121000358     3251199049920000057500278U230722     Summer Staton2        R 0123456780000099
622053906041     3401752542010000103500278U230722     Summer Staton2        R 0123456780000100
622072000326        5352686570000080500278U230722     Summer Staton2        R 0123456780000101
622022000046       88903218810000207000278U230722     Summer Staton2        R 0123456780000102
622091900944          83062920000069000278U230722     Summer Staton2        R 0123456780000103
622111900659       64305547630000023000278U230722     Summer Staton2        R 0123456780000104
622121201814    22000050515800000051600278U230722     Summer Staton2        R 0123456780000105
622322271627        6706377790000046000278U230722     Summer Staton2        R 0123456780000106
622082900872       00252745650000034500278U230722     Summer Staton2        R 0123456780000107
622267084131        5268557930000103200278U230722     Summer Staton2        R 0123456780000108
622082900872           1077800000069000278U230722     Summer Staton2        R 0123456780000109
622062006505       11103061620000149500278U230722     Summer Staton2        R 0123456780000110
622061112843       25284312570000069000278U230722     Summer Staton2        R 0123456780000111
622063114030    80100021356240000115000278U230722     Summer Staton2        R 0123456780000112
622063114030    80100021356240000034500278U230722     Summer Staton2        R 0123456780000113
622081903867           1871510000090300278U230722     Summer Staton2        R 0123456780000114
622101100621       11000489100000161000278U230722     Summer Staton2        R 0123456780000115
622062203984        1252511020000011500278U230722     Summer Staton2        R 0123456780000116
622101217514         118360010000046000278U230722     Summer Staton2        R 0123456780000117
622081508466         301373340000172500278U230722     Summer Staton2        R 0123456780000118
622081503597          33231690000219300278U230722     Summer Staton2        R 0123456780000119
622064008611          10223340000046000278U230722     Summer Staton2        R 0123456780000120
622073903354          40635510000115000278U230722     Summer Staton2        R 0123456780000121
622111901014       46702984630000129000278U230722     Summer Staton2        R 0123456780000122
622103112594           9947010000167700278U230722     Summer Staton2        R 0123456780000123
622073913195          01096780000057500278U230722     Summer Staton2        R 0123456780000124
622263190812      074615540780000149500278U230722     Summer Staton2        R 0123456780000125
622062006534         300410400000184000278U230722     Summer Staton2        R 0123456780000126
622103112594          00039130000129000278U230722     Summer Staton2        R 0123456780000127
